"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/10/28","","","","","0.0","0.0","0.0","2020/10/30~2020/11/03"
"2019/10/23","29.03","1.8","6.2","0.0","0.0","0.0","0.0","2019/10/25~2019/10/29"
"2018/10/23","25.81","1.45","5.62","0.0","0.0","0.0","0.0","2018/10/25~2018/10/29"
"2017/10/30","26.389999","0.95","3.6","0.0","0.0","0.0","0.0","2017/11/01~2017/11/05"
"2016/10/26","25.35","1.3","5.13","0.0","0.0","0.0","0.0","2016/10/28~2016/11/01"
"2015/10/26","22.65","1.0","4.42","0.0","0.0","0.0","0.0","2015/10/28~2015/11/01"
"2014/10/24","23.959999","1.0","4.17","0.0","0.0","0.0","0.0","2014/10/26~2014/10/30"
"2013/10/24","24.18","0.85","3.52","0.0","0.0","0.0","0.0","2013/10/26~2013/10/30"
"2012/10/24","24.4","1.3","5.33","0.0","0.0","0.0","0.0","2012/10/26~2012/10/30"
"2011/10/26","25.209999","2.2","8.73","0.0","0.0","0.0","0.0","2011/10/28~2011/11/01"
"2009/10/23","23.629999","2.0","8.46","0.0","0.0","0.0","0.0","2009/10/25~2009/10/29"
