"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/08/11","13.85","0.5655","4.08","0.2313","0.023","0.0","0.0","2020/08/13~2020/08/17"
"2020/07/02","13.5","0.0","0.0","","","","","2020/07/04~2020/07/08"
"2019/08/12","14.3","0.50835","3.55","0.21","0.0","0.0","0.0","2019/08/14~2019/08/18"
"2018/08/22","15.35","0.541908","3.53","0.44","0.0","0.0","0.0","2018/08/24~2018/08/28"
"2017/08/16","13.9","0.52514935","3.78","0.43","0.0","0.0","0.0","2017/08/18~2017/08/22"
"2016/08/24","13.15","0.48241645","3.67","0.72","0.0","0.0","0.0","2016/08/26~2016/08/30"
"2015/07/13","12.6","0.1","0.79","0.0","0.0","0.0","0.0","2015/07/15~2015/07/19"
"2014/08/19","15.9","0.42575295","2.68","0.99","0.0","0.0","0.0","2014/08/21~2014/08/25"
"2013/08/12","13.45","0.22272568","1.66","0.89","0.0","0.0","0.0","2013/08/14~2013/08/18"
"2012/08/06","11.85","0.22387","1.89","0.8954873788","0.0","0.0","0.0","~"
"2011/07/29","17.15","0.23","1.34","0.7","0.0","0.0","0.0","2011/08/02~2011/08/06"
"2010/08/12","15.2","0.0","0.0","1.1","0.0","0.0","0.0","2010/08/14~2010/08/18"
"2010/01/19","12.85","0.0","0.0","0.0","0.0","0.0","0.0","~"
"2008/07/16","10.65","0.18","1.69","0.0","0.0","0.0","0.0","2008/07/18~2008/07/22"
"2005/07/28","26.700001","1.3","4.87","0.81","0.0","0.0","0.0","2005/07/31~2005/08/04"
"2004/08/05","25.4","1.2","4.72","0.23","0.0","0.0","0.0","2004/08/08~2004/08/12"
"2003/07/24","17.700001","1.0","5.65","0.0","0.0","0.0","0.0","2003/07/27~2003/07/31"
"2002/06/27","18.700001","0.575","3.05","0.0","0.0","0.0","0.0","~"
