"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/12/17","","2.5","","","0.0","0.0","0.0","2020/12/19~2020/12/23"
"2020/09/17","458.0","2.5","0.55","","0.0","0.0","0.0","2020/09/19~2020/09/23"
"2020/06/18","315.0","2.5","0.79","0.0","0.0","0.0","0.0","2020/06/20~2020/06/24"
"2020/03/19","260.0","2.5","0.96","0.0","0.0","0.0","0.0","2020/03/21~2020/03/25"
"2019/12/19","344.5","2.5","0.73","0.0","0.0","0.0","0.0","2019/12/21~2019/12/25"
"2019/09/19","267.0","2.0","0.75","0.0","0.0","0.0","0.0","2019/09/21~2019/09/25"
"2019/06/24","248.5","8.0","3.22","0.0","0.0","0.0","0.0","2019/06/26~2019/06/30"
"2018/06/25","227.5","8.0","3.52","0.0","0.0","0.0","0.0","2018/06/27~2018/07/01"
"2017/06/26","217.0","7.0","3.23","0.0","0.0","0.0","0.0","2017/06/28~2017/07/02"
"2016/06/27","159.0","6.0","3.77","0.0","0.0","0.0","0.0","2016/06/29~2016/07/03"
"2015/06/29","146.0","4.49987539","3.08","0.0","0.0","0.0","0.0","2015/07/01~2015/07/05"
"2014/07/14","136.5","2.99991232","2.2","0.0","0.0","0.0","0.0","2014/07/16~2014/07/20"
"2013/07/03","110.0","2.9995522","2.73","0.0","0.0","0.0","0.0","2013/07/05~2013/07/09"
"2012/07/04","84.199997","2.99948071","3.56","0.0","0.0","0.0","0.0","2012/07/06~2012/07/10"
"2011/06/29","72.5","2.99951326","4.14","0.0","0.0","0.0","0.0","2011/07/01~2011/07/05"
"2010/07/06","61.400002","2.99973242","4.89","0.0","0.0","0.0","0.0","2010/07/08~2010/07/12"
"2009/07/15","55.799999","2.99989241","5.38","0.02","0.0","0.0","0.0","2009/07/17~2009/07/21"
"2008/07/16","57.599998","3.0250729","5.25","0.02","0.0","0.0","0.0","2008/07/18~2008/07/22"
"2007/06/08","69.0","2.99950486","4.35","0.02","0.0","0.0","0.0","2007/06/12~2007/06/16"
"2006/06/20","59.400002","2.4991","4.21","0.15","0.0","0.0","0.0","2006/06/22~2006/06/26"
"2005/06/13","58.099998","1.9998","3.44","0.5","0.0","0.0","0.0","2005/06/15~2005/06/19"
"2004/06/14","50.5","0.6","1.2","1.41","0.0","0.0","0.0","2004/06/16~2004/06/20"
"2003/07/07","62.0","0.0","0.0","0.8","0.0","0.0","0.0","2003/07/09~2003/07/13"
"2002/06/19","75.5","0.0","0.0","1.0","0.0","0.0","0.0","2002/06/21~2002/06/25"
"2001/06/26","85.0","0.0","0.0","4.0","0.0","0.0","0.0","2001/06/28~2001/07/02"
