"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/08/05","8.49","0.0","0.0","","0.0","0.0","0.0","2020/08/07~2020/08/11"
"2020/04/17","8.43","0.0","0.0","0.0","0.0","0.033","7.8","2020/04/21~2020/04/25"
"2019/07/11","9.5","0.2","2.11","0.0","0.0","0.0","0.0","2019/07/15~2019/07/19"
"2018/09/20","12.15","0.336027","2.77","0.14","0.0","0.0","0.0","2018/09/24~2018/09/28"
"2017/07/27","8.2299995","0.20398877","2.48","0.0","0.0","0.0","0.0","2017/07/31~2017/08/04"
"2015/08/18","8.6599998","0.10207581","1.18","0.41","0.0","0.0","0.0","2015/08/20~2015/08/24"
"2014/09/24","9.9700003","0.06025974","0.6","0.54","0.0","0.0","0.0","2014/09/26~2014/09/30"
"2013/09/10","10.05","0.02915635","0.29","0.26","0.0","0.0","0.0","2013/09/12~2013/09/16"
"2009/10/29","14.1","0.0","0.0","0.0","0.0","0.0","0.0","2009/11/01~2009/11/05"
"2008/08/21","17.25","0.49999346","2.9","0.5","0.0","0.0","0.0","2008/08/25~2008/08/29"
"2007/08/17","31.75","0.9699238","3.05","0.29","0.0","0.0","0.0","2007/08/21~2007/08/25"
"2006/08/08","33.900002","0.6325148","1.87","0.63","0.0","0.0","0.0","2006/08/10~2006/08/14"
"2005/08/16","31.549999","0.65","2.1","0.65","0.0","0.0","0.0","2005/08/18~2005/08/22"
"2004/07/27","21.4","0.3087","1.44","0.72","0.0","0.0","0.0","2004/07/29~2004/08/02"
