"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/11/03","","0.0","","0.0","0.0","0.064","10.2","2020/11/05~2020/11/09"
"2020/08/26","12.1","0.28","2.31","0.52","0.052","0.0","0.0","2020/08/28~2020/09/01"
"2019/08/27","12.45","0.28","2.25","0.52","0.0","0.0","0.0","2019/08/29~2019/09/02"
"2018/07/31","10.65","0.45","4.23","0.25","0.0","0.0","0.0","2018/08/02~2018/08/06"
"2017/08/01","10.4","0.55","5.29","0.17","0.0","0.0","0.0","2017/08/03~2017/08/07"
"2016/08/24","9.4499998","0.5","5.29","0.17","0.0","0.0","0.0","2016/08/26~2016/08/30"
"2015/08/25","9.6899996","0.25","2.58","0.64","0.0","0.0","0.0","2015/08/27~2015/08/31"
"2014/08/28","11.0","0.1906595","1.73","0.59","0.0","0.0","0.0","2014/08/30~2014/09/03"
"2013/09/11","11.2","0.1","0.89","0.72","0.0","0.0","0.0","2013/09/13~2013/09/17"
"2012/09/05","9.8599997","0.05","0.51","0.38","0.0","0.0","0.0","2012/09/07~2012/09/11"
"2011/09/01","11.05","0.0","0.0","0.17","0.0","0.0","0.0","2011/09/03~2011/09/07"
"2009/09/15","8.0100002","0.105","1.31","0.0","0.0","0.0","0.0","2009/09/17~2009/09/21"
"2008/10/03","9.1800003","0.4","4.36","0.52","0.0","0.0","0.0","2008/10/07~2008/10/11"
