"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/07/21","","","","","0.0","0.0","0.0","2020/07/23~2020/07/27"
"2020/01/31","92.15","2.9","3.15","0.0","0.0","0.0","0.0","2020/02/02~2020/02/06"
"2019/07/19","82.7","0.7","0.85","0.0","0.0","0.0","0.0","2019/07/21~2019/07/25"
"2019/01/22","76.5","2.3","3.01","0.0","0.0","0.0","0.0","2019/01/24~2019/01/28"
"2018/07/23","84.65","0.7","0.83","0.0","0.0","0.0","0.0","2018/07/25~2018/07/29"
"2018/01/29","87.5","2.2","2.51","0.0","0.0","0.0","0.0","2018/01/31~2018/02/04"
"2017/07/31","82.099998","0.7","0.85","0.0","0.0","0.0","0.0","2017/08/02~2017/08/06"
"2016/07/28","69.699997","0.85","1.22","0.0","0.0","0.0","0.0","2016/07/30~2016/08/03"
"2015/10/26","65.900002","2.0","3.03","0.0","0.0","0.0","0.0","2015/10/28~2015/11/01"
"2014/10/24","65.050003","1.55","2.38","0.0","0.0","0.0","0.0","2014/10/26~2014/10/30"
"2013/10/24","58.700001","1.35","2.3","0.0","0.0","0.0","0.0","2013/10/26~2013/10/30"
"2012/10/24","52.900002","1.85","3.5","0.0","0.0","0.0","0.0","2012/10/26~2012/10/30"
"2011/10/26","53.599998","1.95","3.64","0.0","0.0","0.0","0.0","2011/10/28~2011/11/01"
"2010/10/25","57.099998","2.2","3.85","0.0","0.0","0.0","0.0","2010/10/27~2010/10/31"
"2009/10/23","53.700001","1.0","1.86","0.0","0.0","0.0","0.0","2009/10/25~2009/10/29"
"2008/10/24","35.509998","2.0","5.63","0.0","0.0","0.0","0.0","2008/10/26~2008/10/30"
"2007/10/24","70.599998","2.5","3.54","0.0","0.0","0.0","0.0","2007/10/26~2007/10/30"
"2006/10/26","57.400002","4.0","6.97","0.0","0.0","0.0","0.0","2006/10/28~2006/11/01"
"2005/05/19","46.689999","1.85","3.96","0.0","0.0","0.0","0.0","2005/05/21~2005/05/25"
