"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/07/02","116.5","4.226","3.63","","0.0","0.0","0.0","2020/07/04~2020/07/08"
"2019/07/25","112.0","4.479","4.0","0.0","0.0","0.0","0.0","2019/07/27~2019/07/31"
"2018/07/23","111.5","4.796","4.3","0.0","0.0","0.0","0.0","2018/07/25~2018/07/29"
"2017/07/21","109.5","4.9419","4.51","0.0","0.0","0.0","0.0","2017/07/25~2017/07/29"
"2016/07/21","123.0","5.4852","4.46","0.0","0.0","0.0","0.0","2016/07/24~2016/07/28"
"2015/07/16","98.199997","4.8564","4.95","0.0","0.0","0.0","0.0","2015/07/19~2015/07/23"
"2014/07/17","95.599998","4.5251","4.73","0.0","0.0","0.0","0.0","2014/07/19~2014/07/23"
"2013/07/17","99.800003","5.35","5.36","0.0","0.0","0.0","0.0","2013/07/19~2013/07/23"
"2012/07/17","93.800003","5.4608","5.82","0.0","0.0","0.0","0.0","2012/07/19~2012/07/23"
"2011/07/21","110.0","5.5243","5.02","0.0","0.0","0.0","0.0","2011/07/23~2011/07/27"
"2010/08/12","67.699997","4.06","6.0","0.0","0.0","0.0","0.0","2010/08/15~2010/08/19"
"2009/08/03","65.800003","3.83","5.82","0.0","0.0","0.0","0.0","2009/08/05~2009/08/09"
"2008/10/17","63.099998","4.26","6.75","0.1","0.0","0.0","0.0","2008/10/21~2008/10/25"
"2007/07/26","67.199997","3.58","5.33","0.0","0.0","0.0","0.0","2007/07/28~2007/08/01"
"2006/08/10","60.900002","4.3","7.06","0.2","0.0","0.0","0.0","2006/08/13~2006/08/17"
"2005/08/11","62.5","4.7","7.52","0.0","0.0","0.0","0.0","2005/08/13~2005/08/17"
"2004/07/13","58.0","4.5","7.76","0.0","0.0","0.0","0.0","2004/07/15~2004/07/19"
"2003/07/30","52.5","4.0","7.62","0.0","0.0","0.0","0.0","2003/08/01~2003/08/05"
"2002/07/10","55.0","3.5","6.36","0.0","0.0","0.0","0.0","2002/07/12~2002/07/16"
"2001/06/22","58.5","5.8","9.91","0.0","0.0","0.0","0.0","2001/06/27~2001/07/01"
